ObjectID,Program,CaseID,Full_Address,Match_Address,GEOPIN,Units,Demolition_Start,Demolition_Complete,Location 1
1845,NORA,,3522 MANDEVILLE ST,3522 MANDEVILLE ST,41077282,1,04/29/2011 12:00:00 AM,04/29/2011 12:00:00 AM,"(29.99462898740, -90.05672523430)"
1904,NORA,,3028 PEOPLES AVE,3028 PEOPLES AVE,41090593,1,04/29/2011 12:00:00 AM,04/29/2011 12:00:00 AM,"(29.99026525230, -90.04513442060)"
1816,NORA,,3207 RABBITS ST,3207 RABBITS ST,41193056,1,04/29/2011 12:00:00 AM,04/29/2011 12:00:00 AM,"(29.99188120680, -90.04580410900)"
1598,NORA,,2659 TREASURE ST,2659 TREASURE ST,41090753,1,04/29/2011 12:00:00 AM,06/07/2011 12:00:00 AM,"(29.99057881120, -90.04742512860)"
1629,NORA,,3228 DEERS ST,3228 DEERS ST,41191351,1,04/29/2011 12:00:00 AM,06/27/2011 12:00:00 AM,"(29.99223195800, -90.04759057090)"
1294,NORA,,202 LIBERTY TERRACE DR,202 LIBERTY TERRACE DR,41091097,1,04/29/2011 12:00:00 AM,06/22/2011 12:00:00 AM,"(29.99368094940, -90.04142502240)"
1125,SDER (NOSD),DRCES10C002-00227,3220 Deers Street,3220 DEERS ST,41191319,1,04/29/2011 12:00:00 AM,10/01/2011 12:00:00 AM,"(29.99204699800, -90.04731605160)"
1233,NORA,,3515 Touro St,3515 TOURO ST,41078964,1,04/29/2011 12:00:00 AM,06/27/2011 12:00:00 AM,"(29.99412487970, -90.06109249620)"
796,NORA,ORL155038,3907 PAUGER STREET,3907 PAUGER ST,41078879,1,04/29/2011 12:00:00 AM,08/22/2012 12:00:00 AM,"(29.99297337790, -90.06211156340)"
2082,NORA,,3139 RABBITS ST,3139 RABBITS ST,41091488,1,05/04/2011 12:00:00 AM,05/04/2011 12:00:00 AM,"(29.99149704580, -90.04573698620)"
2277,NORA,,3131 RABBITS ST,3131 RABBITS ST,41091493,1,05/04/2011 12:00:00 AM,05/04/2011 12:00:00 AM,"(29.99136256410, -90.04572672100)"
2229,NORA,,3135 DEERS ST,3135 DEERS ST,41186195,1,05/06/2011 12:00:00 AM,05/06/2011 12:00:00 AM,"(29.99134126310, -90.04697998760)"
2165,NORA,,2360 TREASURE ST,2360 TREASURE ST,41078560,1,05/09/2011 12:00:00 AM,05/09/2011 12:00:00 AM,"(29.98979426230, -90.05442770120)"
1611,NORA,,3107 RABBITS ST,3107 RABBITS ST,41090727,1,05/10/2011 12:00:00 AM,05/19/2011 12:00:00 AM,"(29.99086928510, -90.04568771210)"
1946,NORA,,2700 TREASURE ST,2700 TREASURE ST,41194823,1,05/23/2011 12:00:00 AM,05/23/2011 12:00:00 AM,"(29.99034751780, -90.04690444960)"
1962,NORA,,2712 TREASURE ST,2712 TREASURE ST,41194825,1,05/25/2011 12:00:00 AM,05/25/2011 12:00:00 AM,"(29.99034816750, -90.04675723440)"
2057,NORA,,3441 MANDEVILLE ST,3441 MANDEVILLE ST,41077276,1,05/26/2011 12:00:00 AM,05/26/2011 12:00:00 AM,"(29.99394298020, -90.05613762620)"
1661,NORA,,3208 CLOUET ST,3208 CLOUET ST,41090871,1,05/27/2011 12:00:00 AM,06/08/2011 12:00:00 AM,"(29.99063729220, -90.03752395230)"
790,NORA,ORL151525,3338 FRENCHMAN ST,3338 FRENCHMEN ST,41078817,1,05/31/2011 12:00:00 AM,11/09/2011 12:00:00 AM,"(29.99262960770, -90.06035181450)"
765,NORA,ORL136170,3416-3418 METROPOLITAN ST,3416 METROPOLITAN ST,41090536,1,06/07/2011 12:00:00 AM,10/18/2011 12:00:00 AM,"(29.99270663940, -90.03594484360)"
862,NORA,ORL210097,2655 ELDER STREET,2655 ELDER ST,41111300,1,06/07/2011 12:00:00 AM,03/07/2012 12:00:00 AM,"(29.99482387190, -90.04817952320)"
810,NORA,ORL169640,3664 CLEMATIS STREET,3664 CLEMATIS ST,41077357,1,06/08/2011 12:00:00 AM,06/19/2012 12:00:00 AM,"(29.99631184950, -90.05312029480)"
1547,NORA,,2756 EDGE ST,2756 EDGE ST,41091926,1,06/17/2011 12:00:00 AM,05/24/2011 12:00:00 AM,"(29.99245442280, -90.04620031860)"
885,NORA,ORL233917,3604 CLEMATIS AVE,3604 CLEMATIS ST,41075600,1,06/17/2011 12:00:00 AM,10/20/2011 12:00:00 AM,"(29.99530145390, -90.05240523120)"
657,NORA,ORL092592,3220 METROPOLITAN ST,3220 METROPOLITAN ST,41090518,1,06/20/2011 12:00:00 AM,10/12/2011 12:00:00 AM,"(29.99065828270, -90.03657746410)"
1353,IDC,,3815 St. Ferdinand,3815 ST FERDINAND ST,41182466,1,06/20/2011 12:00:00 AM,06/24/2011 12:00:00 AM,"(29.99866816430, -90.04073421690)"
610,NORA,ORL083470,3507 PIEDMONT DRIVE,3507 PIEDMONT DR,41074573,1,06/20/2011 12:00:00 AM,04/26/2012 12:00:00 AM,"(29.99418380360, -90.05223318870)"
1239,NORA,,2738 ACACIA ST,2738 ACACIA ST,41111071,1,06/22/2011 12:00:00 AM,05/06/2011 12:00:00 AM,"(29.99617877910, -90.04636040850)"
2301,NORA,,3231 RABBITS ST,3231 RABBITS ST,41192320,1,06/23/2011 12:00:00 AM,06/23/2011 12:00:00 AM,"(29.99237520060, -90.04582913140)"
633,NORA,ORL088508,2710 BAY ST,2710 BAY ST,41090762,1,06/24/2011 12:00:00 AM,12/27/2011 12:00:00 AM,"(29.99284778100, -90.04686597290)"
